nome,preco,quantidade,tipo,data_scraping
Adesivo | mzinho (Holográfico) | Xangai 2024,4.77,10,Autographs,2024-12-17
Adesivo | Djoko | Xangai 2024,0.03,467,Autographs,2024-12-17
Adesivo | Ax1Le | Xangai 2024,0.03,82,Autographs,2024-12-14
Adesivo | siuhy (Holográfico) | Xangai 2024,1.2,14,Autographs,2024-12-12
Cápsula de Autógrafos dos Desafiantes Regionais do Xangai 2024,0.95,215,Autographs,2024-12-17
Adesivo | w0nderful | Xangai 2024,0.03,417,Autographs,2024-12-17
Adesivo | Lucky | Xangai 2024,0.03,150,Autographs,2024-12-14
Adesivo | saffee (Purpurinado) | Xangai 2024,0.07,33,Autographs,2024-12-17
Adesivo | Senzu (Purpurinado) | Xangai 2024,0.19,49,Autographs,2024-12-17
Adesivo | donk | Xangai 2024,1.3,313,Autographs,2024-12-17
Adesivo | rain | Xangai 2024,0.05,145,Autographs,2024-12-16
Adesivo | fame (Purpurinado) | Xangai 2024,0.13,38,Autographs,2024-12-17
Adesivo | torzsi | Xangai 2024,0.03,526,Autographs,2024-12-17
Adesivo | NiKo (Holográfico) | Xangai 2024,16.79,27,Autographs,2024-12-17
Adesivo | n0rb3r7 (Purpurinado) | Xangai 2024,0.12,17,Autographs,2024-12-17
Adesivo | Spinx | Xangai 2024,0.03,558,Autographs,2024-12-16
Adesivo | Boombl4 | Xangai 2024,0.05,48,Autographs,2024-12-17
Adesivo | lux | Xangai 2024,0.05,60,Autographs,2024-12-17
Adesivo | b1t | Xangai 2024,0.03,319,Autographs,2024-12-17
Adesivo | Sonic | Xangai 2024,0.04,52,Autographs,2024-12-16
Adesivo | ZywOo | Xangai 2024,0.04,169,Autographs,2024-12-17
Adesivo | TRY | Xangai 2024,0.03,83,Autographs,2024-12-17
Adesivo | siuhy | Xangai 2024,0.03,469,Autographs,2024-12-17
Adesivo | jks | Xangai 2024,0.66,46,Autographs,2024-12-17
Adesivo | karrigan (Purpurinado) | Xangai 2024,0.16,61,Autographs,2024-12-17
Adesivo | magixx (Purpurinado) | Xangai 2024,0.43,94,Autographs,2024-12-16
Adesivo | Snax (Purpurinado) | Xangai 2024,1.0,9,Autographs,2024-12-13
Adesivo | YEKINDAR (Purpurinado) | Xangai 2024,0.75,26,Autographs,2024-12-17
Adesivo | xertioN | Xangai 2024,0.03,393,Autographs,2024-12-17
Adesivo | phzy (Purpurinado) | Xangai 2024,0.15,22,Autographs,2024-12-17
Adesivo | ropz | Xangai 2024,0.14,130,Autographs,2024-12-17
